Ranking,College,Conference,Record,Road,Neutral,Home,Non-Div-I
1,Oklahoma,Big 12,57-6-0,20-0-0,19-5-0,18-1-0,0-0-0
2,UCLA,Pac-12,56-6-0,14-1-0,19-1-0,23-4-0,0-0-0
3,Washington,Pac-12,52-9-0,16-1-0,18-5-0,18-3-0,0-0-0
4,Arizona,Pac-12,48-14-0,16-2-0,6-5-0,26-7-0,0-0-0
5,Florida St.,ACC,55-10-0,14-6-0,9-0-0,32-4-0,0-0-0
6,Alabama,SEC,60-10-0,15-3-0,17-3-0,28-4-0,0-0-0
7,Minnesota,Big Ten,46-14-0,15-6-0,16-7-0,15-1-0,0-0-0
8,Texas,Big 12,46-17-0,12-7-0,7-4-0,27-6-0,0-0-0
9,Oklahoma St.,Big 12,45-17-0,15-7-0,12-7-0,18-3-0,0-0-0
10,Florida,SEC,49-18-0,14-5-0,15-4-0,20-9-0,0-0-0
11,James Madison,CAA,51-10-0,14-6-0,12-3-0,25-1-0,0-0-0
12,Northwestern,Big Ten,47-13-0,13-8-0,18-3-0,16-2-0,0-0-0
13,LSU,SEC,43-19-0,13-7-0,3-3-0,27-9-0,0-0-0
14,Michigan,Big Ten,45-13-0,15-6-0,13-6-0,17-1-0,0-0-0
15,Ole Miss,SEC,41-20-0,9-11-0,8-4-0,24-5-0,0-0-0
16,Kentucky,SEC,36-24-0,12-10-0,11-7-0,13-7-0,0-0-0
17,Tennessee,SEC,43-17-0,12-6-0,11-3-0,20-8-0,0-0-0
18,Louisiana,Sun Belt,52-6-0,21-3-0,6-1-0,25-2-0,0-0-0
19,Texas Tech,Big 12,42-16-0,8-7-0,18-2-0,16-7-0,0-0-0
20,Auburn,SEC,39-21-0,6-10-0,9-4-0,24-7-0,0-0-0
21,North Carolina,ACC,38-20-0,13-6-0,7-7-0,18-7-0,0-0-0
22,Drake,MVC,43-16-0,14-7-0,13-9-0,16-0-0,0-0-0
23,South Carolina,SEC,38-19-0,7-8-0,10-4-0,21-7-0,0-0-0
24,Arizona St.,Pac-12,35-20-0,6-8-0,6-1-0,23-11-0,0-0-0
25,Georgia,SEC,42-19-0,7-9-0,6-2-0,29-8-0,0-0-0
26,Missouri,SEC,35-25-0,8-11-0,14-7-0,13-7-0,0-0-0
27,Virginia Tech,ACC,47-11-0,19-4-0,13-1-0,15-6-0,0-0-0
28,Mississippi St.,SEC,35-23-0,8-10-0,6-4-0,21-9-0,0-0-0
29,Wisconsin,Big Ten,43-14-0,14-8-0,19-3-0,10-3-0,0-0-0
30,Tulsa,AAC,37-20-0,10-12-0,14-3-0,13-5-0,0-0-0
31,Stanford,Pac-12,33-20-0,6-6-0,9-3-0,18-11-0,0-0-0
32,South Fla.,AAC,41-19-0,11-4-0,6-5-0,24-10-0,0-0-0
33,Arkansas,SEC,38-20-0,6-10-0,7-4-0,25-6-0,0-0-0
34,Louisville,ACC,35-23-0,8-12-0,11-6-0,16-5-0,0-0-0
35,Boise St.,MWC,36-16-0,7-11-0,18-1-0,11-4-0,0-0-0
36,Houston,AAC,39-19-0,12-9-0,4-0-0,23-10-0,0-0-0
37,Notre Dame,ACC,37-18-0,10-7-0,15-9-0,12-2-0,0-0-0
38,Colorado St.,MWC,39-12-0,11-4-0,9-4-0,19-4-0,0-0-0
39,Ohio St.,Big Ten,35-18-0,11-7-0,14-7-0,10-4-0,0-0-0
40,Lipscomb,ASUN,42-15-1,9-7-0,17-4-1,16-4-0,0-0-0
41,Illinois,Big Ten,33-25-0,9-8-0,12-10-0,12-7-0,0-0-0
42,Oregon St.,Pac-12,26-19-0,12-8-0,12-3-0,2-8-0,0-0-0
43,Southern Ill.,MVC,34-15-0,9-3-0,9-5-0,16-7-0,0-0-0
44,Louisiana Tech,C-USA,45-16-0,14-8-0,12-3-0,19-5-0,0-0-0
45,UNLV,MWC,36-14-0,10-5-0,6-3-0,20-6-0,0-0-0
46,Cal St. Fullerton,Big West,38-18-0,12-6-0,6-7-0,20-5-0,0-0-0
47,North Dakota St.,Summit League,42-16-0,12-6-0,19-7-0,11-3-0,0-0-0
48,Iowa St.,Big 12,37-25-0,8-8-0,17-9-0,12-8-0,0-0-0
49,San Jose St.,MWC,37-16-0,10-4-0,4-7-0,23-5-0,0-0-0
50,Texas A&M,SEC,28-27-0,2-12-0,1-3-0,25-12-0,0-0-0
51,UCF,AAC,34-21-0,8-4-0,6-4-0,20-13-0,0-0-0
52,Indiana,Big Ten,36-21-0,8-12-0,16-3-0,12-6-0,0-0-0
53,UT Arlington,Sun Belt,36-27-0,8-13-0,11-8-0,17-6-0,0-0-0
54,North Texas,C-USA,35-19-0,11-12-0,8-5-0,16-2-0,0-0-0
55,Liberty,ASUN,40-22-0,10-10-0,6-10-0,24-2-0,0-0-0
56,Seattle U,WAC,40-17-0,7-5-0,17-8-0,16-4-0,0-0-0
57,Western Ky.,C-USA,37-13-0,11-7-0,8-3-0,18-3-0,0-0-0
58,Baylor,Big 12,18-31-0,5-8-0,4-3-0,9-20-0,0-0-0
59,Southeast Mo. St.,OVC,46-18-0,16-8-0,20-6-0,10-4-0,0-0-0
60,Oregon,Pac-12,22-30-0,5-11-0,13-6-0,4-13-0,0-0-0
61,Wichita St.,AAC,32-24-0,9-7-0,12-7-0,11-10-0,0-0-0
62,Sam Houston St.,Southland,35-23-0,13-9-0,9-9-0,13-5-0,0-0-0
63,Fresno St.,MWC,37-20-0,6-11-0,8-4-0,23-5-0,0-0-0
64,Texas St.,Sun Belt,29-25-0,13-10-0,6-3-0,10-12-0,0-0-0
65,Troy,Sun Belt,37-20-0,9-9-0,11-5-0,17-6-0,0-0-0
66,California,Pac-12,28-27-0,8-11-0,13-5-0,7-11-0,0-0-0
67,LMU (CA),WCC,40-21-0,7-8-0,11-5-0,22-8-0,0-0-0
68,UC Davis,Big West,39-14-0,12-5-0,7-3-0,20-6-0,0-0-0
69,Marshall,C-USA,42-22-0,13-8-0,16-8-0,13-6-0,0-0-0
70,Longwood,Big South,37-22-0,11-14-0,11-3-0,15-5-0,0-0-0
71,Elon,CAA,33-20-1,9-11-0,5-2-1,19-7-0,0-0-0
72,New Mexico St.,WAC,33-22-0,10-7-0,3-8-0,20-7-0,0-0-0
73,UNC Greensboro,SoCon,33-23-0,12-6-0,8-6-0,13-11-0,0-0-0
74,Grand Canyon,WAC,33-24-0,7-6-0,1-5-0,25-13-0,0-0-0
75,Kent St.,MAC,28-26-0,15-12-0,7-9-0,6-5-0,0-0-0
76,Coastal Caro.,Sun Belt,39-21-0,7-11-0,7-2-0,25-8-0,0-0-0
77,DePaul,Big East,35-16-0,11-9-0,19-5-0,5-2-0,0-0-0
78,Jacksonville St.,OVC,36-15-0,10-5-0,8-7-0,18-3-0,0-0-0
79,Miami (OH),MAC,35-16-0,14-5-0,9-7-0,12-4-0,0-0-0
80,Long Beach St.,Big West,25-25-0,5-5-0,9-7-0,11-13-0,0-0-0
81,USC Upstate,Big South,41-15-0,9-9-0,5-5-0,27-1-0,0-0-0
82,Nicholls St.,Southland,34-22-0,11-8-0,7-9-0,16-5-0,0-0-0
83,FGCU,ASUN,29-22-0,10-3-0,5-4-0,14-15-0,0-0-0
84,NC State,ACC,31-27-0,10-9-0,6-4-0,15-14-0,0-0-0
85,McNeese,Southland,33-32-0,10-13-0,6-5-0,17-14-0,0-0-0
86,Bradley,MVC,29-21-0,13-6-0,8-8-0,8-7-0,0-0-0
87,Missouri St.,MVC,30-21-0,12-7-0,10-6-0,8-8-0,0-0-0
88,Duke,ACC,25-31-0,8-10-0,3-7-0,14-14-0,0-0-0
89,Rutgers,Big Ten,29-26-0,7-13-0,14-8-0,8-5-0,0-0-0
90,Georgia Tech,ACC,31-27-0,9-17-0,4-2-0,18-8-0,0-0-0
91,Eastern Ky.,OVC,35-22-0,10-10-0,13-8-0,12-4-0,0-0-0
92,Purdue,Big Ten,34-29-0,2-15-0,23-7-0,9-7-0,0-0-0
93,Hawaii,Big West,33-16-0,5-4-0,3-1-0,25-11-0,0-0-0
94,UNI,MVC,28-23-0,13-10-0,4-6-0,11-7-0,0-0-0
95,Nevada,MWC,29-27-0,10-13-0,10-5-0,9-9-0,0-0-0
96,Chattanooga,SoCon,37-17-0,8-4-0,14-8-0,15-5-0,0-0-0
97,Boston U.,Patriot,37-20-0,7-10-0,12-10-0,18-0-0,0-0-0
98,Southern Miss.,C-USA,30-22-0,11-12-0,3-3-0,16-7-0,0-0-0
99,San Diego St.,MWC,25-26-0,6-11-0,6-6-0,13-9-0,0-0-0
100,Utah,Pac-12,19-35-0,4-12-0,10-12-0,5-11-0,0-0-0
101,Nebraska,Big Ten,21-31-0,6-14-0,8-8-0,7-9-0,0-0-0
102,Ohio,MAC,34-21-0,12-11-0,15-6-0,7-4-0,0-0-0
103,Austin Peay,OVC,33-22-0,14-13-0,10-6-0,9-3-0,0-0-0
104,North Florida,ASUN,30-24-0,8-6-0,10-6-0,12-12-0,0-0-0
105,BYU,WCC,30-26-0,11-11-0,10-12-0,9-3-0,0-0-0
106,SFA,Southland,36-23-0,15-14-0,9-4-0,12-5-0,0-0-0
107,South Dakota St.,Summit League,37-19-0,7-12-0,22-5-0,8-2-0,0-0-0
108,Weber St.,Big Sky,27-21-0,8-10-0,10-9-0,9-2-0,0-0-0
109,North Ala.,ASUN,26-20-0,16-6-0,6-6-0,4-8-0,0-0-0
110,Appalachian St.,Sun Belt,31-25-0,16-10-0,6-6-0,9-9-0,0-0-0
111,Iowa,Big Ten,19-32-0,3-14-0,12-8-0,4-10-0,0-0-0
112,Stony Brook,America East,32-19-0,11-10-0,6-6-0,15-3-0,0-0-0
113,St. John's (NY),Big East,26-22-0,8-6-0,7-11-0,11-5-0,0-0-0
114,UMass Lowell,America East,28-20-0,12-11-0,7-8-0,9-1-0,0-0-0
115,George Washington,Atlantic 10,44-18-0,10-5-0,11-5-0,23-8-0,0-0-0
116,Virginia,ACC,22-31-0,8-16-0,4-6-0,10-9-0,0-0-0
117,Toledo,MAC,29-28-0,7-9-0,14-14-0,8-5-0,0-0-0
118,Northern Ill.,MAC,27-25-0,8-11-0,10-9-0,9-5-0,0-0-0
119,FIU,C-USA,26-25-0,4-8-0,8-2-0,14-15-0,0-0-0
120,LIU Brooklyn,NEC,36-18-0,11-6-0,11-10-0,14-2-0,0-0-0
121,Towson,CAA,27-27-0,7-12-0,7-7-0,13-8-0,0-0-0
122,Belmont,OVC,31-23-0,8-7-0,10-7-0,13-9-0,0-0-0
123,Maryland,Big Ten,20-31-0,4-15-0,10-5-0,6-11-0,0-0-0
124,Ball St.,MAC,34-20-0,10-7-0,18-9-0,6-4-0,0-0-0
125,UIC,Horizon,32-23-0,10-7-0,7-10-0,15-6-0,0-0-0
126,Middle Tenn.,C-USA,29-30-0,9-11-0,12-10-0,8-9-0,0-0-0
127,Monmouth,MAAC,36-18-0,13-4-0,10-9-0,13-5-0,0-0-0
128,East Carolina,AAC,23-31-0,7-14-0,8-3-0,8-14-0,0-0-0
129,Murray St.,OVC,26-27-0,10-10-0,5-11-0,11-6-0,0-0-0
130,Southeastern La.,Southland,34-23-0,9-9-0,5-4-0,20-10-0,0-0-0
131,Syracuse,ACC,21-32-0,6-16-0,7-8-0,8-8-0,0-0-0
132,Winthrop,Big South,30-25-0,9-12-0,11-7-0,10-6-0,0-0-0
133,Villanova,Big East,29-24-0,9-8-0,13-11-0,7-5-0,0-0-0
134,CSUN,Big West,26-28-0,9-9-0,3-9-0,14-10-0,0-0-0
135,Illinois St.,MVC,18-33-0,10-11-0,6-16-0,2-6-0,0-0-0
136,South Dakota,Summit League,33-28-0,8-12-0,14-13-0,11-3-0,0-0-0
137,Fordham,Atlantic 10,29-26-0,8-12-0,9-11-0,12-3-0,0-0-0
138,Memphis,AAC,22-33-0,3-15-0,5-5-0,14-13-0,0-0-0
139,Providence,Big East,30-22-0,7-10-0,12-10-0,11-2-0,0-0-0
140,Albany (NY),America East,26-17-0,10-3-0,4-9-0,12-5-0,0-0-0
141,Massachusetts,Atlantic 10,26-22-0,7-8-0,10-10-0,9-4-0,0-0-0
142,Northwestern St.,Southland,30-27-0,6-16-0,2-7-0,22-4-0,0-0-0
143,UNCW,CAA,26-28-0,4-16-0,6-2-0,16-10-0,0-0-0
144,Lehigh,Patriot,27-28-0,16-11-0,6-7-0,5-10-0,0-0-0
145,Col. of Charleston,CAA,26-30-0,5-13-0,6-5-0,15-12-0,0-0-0
146,South Alabama,Sun Belt,18-31-0,5-12-0,2-5-0,11-14-0,0-0-0
147,Fla. Atlantic,C-USA,20-30-0,3-12-0,3-6-0,14-12-0,0-0-0
148,Kansas,Big 12,15-36-0,2-13-0,4-11-0,9-12-0,0-0-0
149,Hofstra,CAA,20-27-0,11-11-0,5-7-0,4-9-0,0-0-0
150,Penn St.,Big Ten,24-32-0,7-11-0,12-9-0,5-12-0,0-0-0
151,Samford,SoCon,23-31-0,7-13-0,4-8-0,12-10-0,0-0-0
152,Campbell,Big South,26-28-0,11-10-0,2-7-0,13-11-0,0-0-0
153,UConn,AAC,21-29-0,9-13-0,7-7-0,5-9-0,0-0-0
154,UAB,C-USA,19-31-0,7-13-0,4-4-0,8-14-0,0-0-0
155,Harvard,Ivy League,25-19-0,8-9-0,3-8-0,14-2-0,0-0-0
156,Central Mich.,MAC,22-28-1,4-8-1,10-13-0,8-7-0,0-0-0
157,UC Riverside,Big West,26-27-0,8-6-0,2-9-0,16-12-0,0-0-0
158,Loyola Chicago,MVC,25-25-0,6-13-0,7-5-0,12-7-0,0-0-0
159,Boston College,ACC,18-35-0,5-16-0,5-7-0,8-12-0,0-0-0
